case_id,arm,model,K,naca,re,aoa_deg,status,cd_fluent,cd_fluent_corrected,cl_fluent,cl_fluent_corrected,cd_int_mean,cd_int_std,cd_head_mean,cd_head_std,cl_int_mean,cl_int_std,cl_head_mean,cl_head_std,err_cd_int,err_cd_head,err_cl_int,err_cl_head,fsc,q90_halfwidth_cd_int,q90_halfwidth_cd_head,covered90_cd_int,covered90_cd_head,pred_source
al_rand_naca4415_re2e6_a0,random,sdf_fno,5,4415,2000000.0,0.0,converged,0.01166529433833695,0.010764672182744277,0.4295811354919816,0.41734834787335184,0.02097460925579071,0.003221919396585678,0.013382020033895969,0.0007583492217348153,0.3499577045440674,0.020658873088250547,0.3672775626182556,0.08224015989631771,0.010209937073046432,0.0026173478511516916,-0.06739064332928446,-0.05007078525509623,0.007592589221894741,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_var_naca0010_re3e6_a18,variance,sdf_fno,5,0010,3000000.0,18.0,diverged,4.759925837851459e+86,4.759925837851459e+86,1.003253796376343e+88,1.003253796376343e+88,-0.021638361737132072,0.06511562680418843,0.04319965839385986,0.006449235524468241,1.5020662307739259,0.04802721032158575,1.6551401615142822,0.06961524457672064,nan,nan,nan,nan,0.06483802013099194,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca0010_re6e6_a18,variance,sdf_fno,5,0010,6000000.0,18.0,diverged,9.889275284792381e+95,9.889275284792381e+95,-4.93758075438704e+95,-4.93758075438704e+95,0.003147589787840843,0.09240914210339908,0.058035421371459964,0.013326576235350157,1.5150432109832763,0.1476024282166114,2.110435628890991,0.13302817136182812,nan,nan,nan,nan,0.05488783158361912,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca0015_re6e6_a18,variance,sdf_fno,5,0015,6000000.0,18.0,diverged,-2.075194625355277e+93,-2.075194625355277e+93,-8.156634963804784e+96,-8.156634963804784e+96,0.006828905455768109,0.05313290048867505,0.03999396935105324,0.0061666674161252825,1.4388921737670899,0.053969423424996,1.9422587871551513,0.09662954492120818,nan,nan,nan,nan,0.03316506389528513,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca22015_re7e6_a18,variance,sdf_fno,5,22015,7000000.0,18.0,diverged,1.11367761742687e+99,1.11367761742687e+99,-3.251127505987094e+100,-3.251127505987094e+100,0.0027405060827732086,0.08221756108600783,0.04284932613372803,0.005036885885393295,1.4467626094818116,0.09997121109057139,2.0982661724090574,0.165120999198497,nan,nan,nan,nan,0.04010882005095482,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca24015_re5e6_a18,variance,sdf_fno,5,24015,5000000.0,18.0,diverged,-1.4430032336942e+98,-1.4430032336942e+98,1.239433789193163e+100,1.239433789193163e+100,-0.011370369046926499,0.04642934431755788,0.04135304614901543,0.004589015393524585,1.5286831617355348,0.03687190256566268,1.8984029769897461,0.08759427485507668,nan,nan,nan,nan,0.052723415195941925,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca2415_re7e6_a18,variance,sdf_fno,5,2415,7000000.0,18.0,diverged,1.177500478392463e+96,1.177500478392463e+96,-1.048882324605794e+98,-1.048882324605794e+98,0.0062914538430050015,0.07662817980053417,0.04719690755009651,0.005982677625862433,1.537888479232788,0.09498978619113284,2.142195463180542,0.15148222719232954,nan,nan,nan,nan,0.04090545370709151,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_var_naca32012_re6e6_a18,variance,sdf_fno,5,32012,6000000.0,18.0,converged,0.1662419920093399,0.16534136985374723,1.993301247476732,1.9810684598581023,0.021685656579211354,0.06322656437460605,0.04459085315465927,0.005937109830061907,1.5462992906570434,0.05827671228317143,2.069470453262329,0.07376180672384614,-0.14365571327453588,-0.12075051669908796,-0.4347691692010589,0.08840199340422661,0.022905196575447918,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
al_var_naca4415_re6e6_a18,variance,sdf_fno,5,4415,6000000.0,18.0,diverged,2.735064878775752e+96,2.735064878775752e+96,9.253019656770345e+97,9.253019656770345e+97,0.03763345628976822,0.06499469032770287,0.04848969951272011,0.0060263741399531915,1.6888161659240724,0.05347471502833878,2.1106669425964357,0.11750072968242646,nan,nan,nan,nan,0.010856243222951888,0.0040276082232594485,0.00034998971968889207,,,score_pool
gridstudy_naca0012_re3e6_a5_L2,gridstudy,sdf_fno,5,0012,3000000.0,5.0,converged,0.01075519408233563,0.009854571926742956,0.5529727501678109,0.5407399625491811,0.03803631626069546,0.005658909621164312,0.012482862174510955,0.00039041566002831257,0.48084977865219114,0.019671745336505998,0.5365190207958221,0.08333320144490589,0.028181744333952503,0.002628290247767999,-0.05989018389698997,-0.004220941753358964,0.025553454086184504,0.0040276082232594485,0.00034998971968889207,False,False,score_pool
offset_1_naca0016_a2p4,offset,sdf_fno,5,0016,3906337.720820305,2.4010000228881836,converged,0.01048208744382088,0.009581465288228206,0.2608724352006407,0.2486396475820109,0.010317049734999997,0.0005643315992490521,0.009696503728599998,1.4788304101062089e-05,0.25333086252000003,0.0017079948072185902,0.24726042152,0.005056143159551657,0.0007355844467717906,0.00011503844037179245,0.00469121493798913,-0.0013792260620109076,0.0006205460063999982,0.0040276082232594485,0.00034998971968889207,True,True,per_sim
offset_2_naca0109_a8p6,offset,sdf_fno,5,1009,4039643.846785233,8.57800006866455,converged,0.01300764594684594,0.012107023791253266,0.9410598244289289,0.9288270368102991,0.01026403252,0.0013036740815643986,0.011511576361999998,9.805658906251376e-05,0.9214678168200001,0.002560256870551574,0.93678690196,0.011445489707920566,-0.001842991271253265,-0.0005954474292532673,-0.007359219990298982,0.007959865149700929,0.0012475438419999978,0.0040276082232594485,0.00034998971968889207,True,False,per_sim
offset_3_naca2211_a3p3,offset,sdf_fno,5,2211,4595774.775998254,3.3329999446868896,converged,0.009919041598157203,0.00901841944256453,0.6245228282434895,0.6122900406248597,0.008403414674000001,0.00043545248124086694,0.009077505767200001,2.8104645746475864e-05,0.6017029643,0.0039029862243935057,0.6060333133,0.0072930449900024275,-0.0006150047685645286,5.9086324635471144e-05,-0.010587076324859668,-0.006256727324859712,0.0006740910931999997,0.0040276082232594485,0.00034998971968889207,True,True,per_sim
offset_4_naca2710_am1p6,offset,sdf_fno,5,2710,2055923.1172781568,-1.5800000429153442,converged,0.009718763031407682,0.00881814087581501,0.06346490013363361,0.051232112515003835,0.0090933566912,0.0001651439567124938,0.009234013967000002,6.836545033671066e-05,0.016662611624,0.0038152094418974665,0.04289094209600001,0.011479394696329435,0.00027521581538499096,0.0004158730911849925,-0.034569500891003836,-0.008341170419003827,0.00014065727580000152,0.0040276082232594485,0.00034998971968889207,True,False,per_sim
